date,p_pv
2019-02-25,7451
2019-02-26,7682
2019-02-27,7070
2019-02-28,6428
2019-03-01,9296
2019-03-02,5086
2019-03-03,3448
2019-03-04,9845
2019-03-05,8473
2019-03-06,8974
2019-03-07,10188
2019-03-08,8117
2019-03-09,3117
2019-03-10,2426
2019-03-11,8432
2019-03-12,8176
2019-03-13,8539
2019-03-14,8540
2019-03-15,8523
2019-03-16,2839
2019-03-17,2580
2019-03-18,8827
2019-03-19,9380
2019-03-20,10427
2019-03-21,9391
2019-03-22,9523
2019-03-23,4220
2019-03-24,4299
2019-03-25,10365
2019-03-26,9904
2019-03-27,10746
2019-03-28,11566
2019-03-29,10243
2019-03-30,4757
2019-03-31,4114
2019-04-01,11572
2019-04-02,12002
2019-04-03,11880
2019-04-04,10714
2019-04-05,4774
2019-04-06,3674
2019-04-07,4321
2019-04-08,12746
2019-04-09,17106
2019-04-10,14077
2019-04-11,15854
2019-04-12,11666
2019-04-13,6939
2019-04-14,6962
2019-04-15,12633
2019-04-16,12841
2019-04-17,13719
2019-04-18,11593
2019-04-19,9115
2019-04-20,6154
2019-04-21,6023
2019-04-22,13332
2019-04-23,13211
2019-04-24,11135
2019-04-25,10652
2019-04-26,9036
2019-04-27,3142
2019-04-28,9779
2019-04-29,10272
2019-04-30,10657
2019-05-01,5342
2019-05-02,6262
2019-05-03,6460
2019-05-04,5819
2019-05-05,15628
2019-05-06,15574
2019-05-07,16658
2019-05-08,14158
2019-05-09,12468
2019-05-10,12049
2019-05-11,6380
2019-05-12,4457
2019-05-13,9829
2019-05-14,11437
2019-05-15,12812
2019-05-16,14656
2019-05-17,13404
2019-05-18,9523
2019-05-19,7936
