date,r_pv
2018-11-07,25
2018-11-08,29
2018-11-09,24
2018-11-10,7
2018-11-11,4
2018-11-12,27
2018-11-13,19
2018-11-14,14
2018-11-15,10
2018-11-16,10
2018-11-17,3
2018-11-18,9
2018-11-19,19
2018-11-20,24
2018-11-21,20
2018-11-22,17
2018-11-23,11
2018-11-24,12
2018-11-25,6
2018-11-26,16
2018-11-27,30
2018-11-28,40
2018-11-29,18
2018-11-30,16
2018-12-01,4
2018-12-02,5
2018-12-03,23
2018-12-04,22
2018-12-05,10
2018-12-06,18
2018-12-07,27
2018-12-08,5
2018-12-09,3
2018-12-10,38
2018-12-11,21
2018-12-12,16
2018-12-13,39
2018-12-14,20
2018-12-15,5
2018-12-16,3
2018-12-17,18
2018-12-18,23
2018-12-19,47
2018-12-20,49
2018-12-21,44
2018-12-22,17
2018-12-23,18
2018-12-24,28
2018-12-25,27
2018-12-26,27
2018-12-27,27
2018-12-28,41
2018-12-29,28
2018-12-30,11
2018-12-31,4
2019-01-01,9
2019-01-02,23
2019-01-03,26
2019-01-04,33
2019-01-05,12
2019-01-06,11
2019-01-07,35
2019-01-08,40
2019-01-09,40
2019-01-10,51
2019-01-11,32
2019-01-12,14
2019-01-13,19
2019-01-14,28
2019-01-15,35
2019-01-16,26
2019-01-17,51
2019-01-18,25
2019-01-19,21
2019-01-20,14
2019-01-21,45
2019-01-22,52
2019-01-23,70
2019-01-24,59
2019-01-25,85
2019-01-26,20
2019-01-27,22
2019-01-28,77
2019-01-29,76
2019-01-30,56
2019-01-31,60
2019-02-01,38
2019-02-02,10
2019-02-03,4
2019-02-11,62
2019-02-12,58
2019-02-13,62
2019-02-14,43
2019-02-15,55
2019-02-16,23
2019-02-17,13
2019-02-18,72
2019-02-19,70
2019-02-20,73
2019-02-21,74
2019-02-22,70
2019-02-23,23
2019-02-24,19
2019-02-25,75
2019-02-26,75
2019-02-27,72
2019-02-28,64
2019-03-01,86
2019-03-02,51
2019-03-03,31
2019-03-04,93
2019-03-05,75
2019-03-06,84
2019-03-07,97
2019-03-08,84
2019-03-09,19
2019-03-10,18
2019-03-11,73
2019-03-12,75
2019-03-13,104
2019-03-14,91
2019-03-15,90
2019-03-16,21
2019-03-17,21
2019-03-18,87
2019-03-19,95
2019-03-20,110
2019-03-21,75
2019-03-22,109
2019-03-23,25
2019-03-24,30
2019-03-25,104
2019-03-26,88
2019-03-27,115
2019-03-28,134
2019-03-29,113
2019-03-30,41
2019-03-31,28
2019-04-01,132
2019-04-02,131
2019-04-03,105
2019-04-04,131
2019-04-05,32
2019-04-06,24
2019-04-07,37
2019-04-08,119
2019-04-09,156
2019-04-10,118
2019-04-11,188
2019-04-12,105
2019-04-13,52
2019-04-14,53
2019-04-15,136
2019-04-16,131
2019-04-17,147
2019-04-18,108
2019-04-19,132
2019-04-20,44
2019-04-21,45
2019-04-22,122
2019-04-23,83
2019-04-24,100
2019-04-25,115
2019-04-26,86
2019-04-27,2
2019-04-28,113
2019-04-29,124
2019-04-30,56
2019-05-01,17
2019-05-02,28
2019-05-03,22
2019-05-04,15
2019-05-05,92
2019-05-06,101
2019-05-07,124
2019-05-08,118
2019-05-09,110
2019-05-10,76
2019-05-11,29
2019-05-12,24
2019-05-13,106
2019-05-14,91
2019-05-15,85
2019-05-16,102
2019-05-17,75
2019-05-18,51
2019-05-19,47
