date,r_uv
2018-11-01,20
2018-11-02,21
2018-11-03,8
2018-11-04,7
2018-11-05,14
2018-11-06,33
2018-11-07,25
2018-11-08,29
2018-11-09,24
2018-11-10,7
2018-11-11,4
2018-11-12,26
2018-11-13,19
2018-11-14,14
2018-11-15,10
2018-11-16,10
2018-11-17,3
2018-11-18,9
2018-11-19,19
2018-11-20,24
2018-11-21,20
2018-11-22,17
2018-11-23,11
2018-11-24,12
2018-11-25,6
2018-11-26,16
2018-11-27,30
2018-11-28,39
2018-11-29,18
2018-11-30,16
2018-12-01,4
2018-12-02,5
2018-12-03,23
2018-12-04,22
2018-12-05,10
2018-12-06,17
2018-12-07,4
2018-12-08,5
2018-12-09,1
2018-12-10,10
2018-12-11,14
2018-12-12,13
2018-12-13,29
2018-12-14,17
2018-12-15,3
2018-12-16,2
2018-12-17,14
2018-12-18,19
2018-12-19,33
2018-12-20,33
2018-12-21,33
2018-12-22,16
2018-12-23,18
2018-12-24,26
2018-12-25,26
2018-12-26,27
2018-12-27,26
2018-12-28,40
2018-12-29,27
2018-12-30,11
2018-12-31,4
2019-01-01,9
2019-01-02,23
2019-01-03,26
2019-01-04,32
2019-01-05,12
2019-01-06,11
2019-01-07,33
2019-01-08,36
2019-01-09,34
2019-01-10,42
2019-01-11,24
2019-01-12,10
2019-01-13,17
2019-01-14,24
2019-01-15,31
2019-01-16,22
2019-01-17,47
2019-01-18,21
2019-01-19,16
2019-01-20,11
2019-01-21,41
2019-01-22,42
2019-01-23,58
2019-01-24,46
2019-01-25,73
2019-01-26,17
2019-01-27,16
2019-01-28,63
2019-01-29,65
2019-01-30,52
2019-01-31,45
2019-02-01,32
2019-02-02,8
2019-02-03,4
2019-02-11,53
2019-02-12,53
2019-02-13,56
2019-02-14,38
2019-02-15,49
2019-02-16,19
2019-02-17,10
2019-02-18,56
2019-02-19,59
2019-02-20,62
2019-02-21,61
2019-02-22,58
2019-02-23,19
2019-02-24,16
2019-02-25,64
2019-02-26,60
2019-02-27,61
2019-02-28,55
2019-03-01,73
2019-03-02,44
2019-03-03,25
2019-03-04,85
2019-03-05,71
2019-03-06,72
2019-03-07,76
2019-03-08,68
2019-03-09,16
2019-03-10,17
2019-03-11,62
2019-03-12,66
2019-03-13,89
2019-03-14,77
2019-03-15,79
2019-03-16,19
2019-03-17,18
2019-03-18,68
2019-03-19,83
2019-03-20,99
2019-03-21,65
2019-03-22,96
2019-03-23,23
2019-03-24,26
2019-03-25,94
2019-03-26,73
2019-03-27,102
2019-03-28,113
2019-03-29,95
2019-03-30,38
2019-03-31,23
2019-04-01,113
2019-04-02,119
2019-04-03,96
2019-04-04,110
2019-04-05,27
2019-04-06,21
2019-04-07,31
2019-04-08,106
2019-04-09,137
2019-04-10,103
2019-04-11,169
2019-04-12,94
2019-04-13,49
2019-04-14,49
2019-04-15,116
2019-04-16,119
2019-04-17,128
2019-04-18,93
2019-04-19,86
2019-04-20,44
2019-04-21,45
2019-04-22,122
2019-04-23,83
2019-04-24,87
2019-04-25,102
2019-04-26,74
2019-04-27,2
2019-04-28,91
2019-04-29,104
2019-04-30,54
2019-05-01,16
2019-05-02,26
2019-05-03,20
2019-05-04,14
2019-05-05,89
2019-05-06,97
2019-05-07,121
2019-05-08,114
2019-05-09,106
2019-05-10,75
2019-05-11,28
2019-05-12,24
2019-05-13,100
2019-05-14,89
2019-05-15,84
2019-05-16,98
2019-05-17,75
2019-05-18,49
2019-05-19,46
